feature,mean_abs_shap_value
curricular_units_1st_sem_approved,1.6642324
tuition_fees_up_to_date,0.47183266
curricular_units_1st_sem_grade,0.4206447
curricular_units_1st_sem_enrolled,0.32959706
course,0.2651448
scholarship_holder,0.2381776
age_at_enrollment,0.2194171
gender,0.19333556
unemployment_rate,0.17983742
admission_grade,0.1786798
curricular_units_1st_sem_evaluations,0.16296642
debtor,0.14901483
displaced,0.13196884
gdp,0.101503536
mothers_occupation,0.093308575
curricular_units_1st_sem_credited,0.078531235
application_mode,0.075319186
previous_qualification_grade,0.06386284
fathers_occupation,0.049244028
fathers_qualification,0.045328546
application_order,0.04260241
daytime_evening_attendance,0.027819837
inflation_rate,0.025152806
previous_qualification,0.020010611
mothers_qualification,0.019715797
curricular_units_1st_sem_without_evaluations,0.016269205
marital_status,0.013511591
nacionality,0.011551639
international,0.0021215577
educational_special_needs,0.0
